"DATA No","DATE","TIME","³µËÙ","A1","A2","A3","A4","A1-----A4ID1"
103,2017/11/30,09:41:23,1.755000E+01,2259,722,377,3340,2259
104,2017/11/30,09:41:23,1.755000E+01,2259,728,332,3368,2259
105,2017/11/30,09:41:23,1.755000E+01,2265,750,286,3376,2265
106,2017/11/30,09:41:23,1.755000E+01,2290,799,232,3362,2290
107,2017/11/30,09:41:23,1.755000E+01,2318,847,142,3343,2318
108,2017/11/30,09:41:23,1.755000E+01,2349,888,61,3334,2349
109,2017/11/30,09:41:23,1.755000E+01,2379,916,-14,3323,2379
110,2017/11/30,09:41:23,1.755000E+01,2395,929,-97,3310,2395
111,2017/11/30,09:41:23,1.755000E+01,2401,941,-174,3309,2401
112,2017/11/30,09:41:23,1.755000E+01,2404,972,-209,3324,2404
113,2017/11/30,09:41:23,1.755000E+01,2405,1005,-167,3337,2405
114,2017/11/30,09:41:23,1.755000E+01,2411,1040,-96,3337,2411
115,2017/11/30,09:41:23,1.755000E+01,2420,1080,-30,3322,2420
116,2017/11/30,09:41:23,1.755000E+01,2425,1128,20,3295,2425
117,2017/11/30,09:41:23,1.755000E+01,2425,1185,55,3230,2425
118,2017/11/30,09:41:23,1.755000E+01,2439,1268,63,3162,2439
119,2017/11/30,09:41:23,1.755000E+01,2454,1343,40,3095,2454
120,2017/11/30,09:41:23,1.755000E+01,2473,1422,21,3025,2473
121,2017/11/30,09:41:23,1.755000E+01,2487,1494,14,2956,2487
122,2017/11/30,09:41:23,1.755000E+01,2497,1553,9,2891,2497
123,2017/11/30,09:41:23,1.755000E+01,2510,1593,0,2826,2510
124,2017/11/30,09:41:23,1.755000E+01,2534,1624,-3,2782,2534
125,2017/11/30,09:41:23,1.755000E+01,2553,1636,2,2756,2553
126,2017/11/30,09:41:23,1.755000E+01,2565,1644,14,2753,2565
127,2017/11/30,09:41:23,1.755000E+01,2565,1648,28,2756,2565
128,2017/11/30,09:41:23,1.755000E+01,2554,1649,44,2757,2554
129,2017/11/30,09:41:23,1.755000E+01,2538,1644,60,2743,2538
130,2017/11/30,09:41:23,1.755000E+01,2513,1632,66,2735,2513
131,2017/11/30,09:41:23,1.755000E+01,2489,1621,60,2723,2489
132,2017/11/30,09:41:23,1.755000E+01,2472,1610,45,2701,2472
