"DATA No","DATE","TIME","³µËÙ","A1","A2","A3","A4","A1-----A4ID1"
117,2017/11/30,09:44:05,1.882759E+01,2454,1490,334,2736,2454
118,2017/11/30,09:44:05,1.882759E+01,2473,1529,368,2667,2473
119,2017/11/30,09:44:05,1.882759E+01,2483,1562,349,2594,2483
120,2017/11/30,09:44:05,1.882759E+01,2484,1588,323,2520,2484
121,2017/11/30,09:44:05,1.882759E+01,2480,1602,332,2425,2480
122,2017/11/30,09:44:05,1.882759E+01,2463,1615,362,2352,2463
123,2017/11/30,09:44:05,1.882759E+01,2453,1626,374,2286,2453
124,2017/11/30,09:44:05,1.882759E+01,2440,1622,367,2226,2440
125,2017/11/30,09:44:05,1.882759E+01,2429,1610,377,2154,2429
126,2017/11/30,09:44:05,1.882759E+01,2428,1588,404,2061,2428
127,2017/11/30,09:44:05,1.882759E+01,2435,1566,412,1927,2435
128,2017/11/30,09:44:05,1.882759E+01,2454,1534,386,1814,2454
129,2017/11/30,09:44:05,1.882759E+01,2466,1505,349,1704,2466
130,2017/11/30,09:44:05,1.882759E+01,2467,1473,345,1600,2467
131,2017/11/30,09:44:05,1.882759E+01,2472,1437,341,1504,2472
132,2017/11/30,09:44:05,1.882759E+01,2469,1401,309,1421,2469
133,2017/11/30,09:44:05,1.882759E+01,2459,1365,259,1323,2459
134,2017/11/30,09:44:05,1.882759E+01,2442,1331,221,1240,2442
135,2017/11/30,09:44:05,1.882759E+01,2426,1305,192,1150,2426
136,2017/11/30,09:44:05,1.882759E+01,2413,1288,163,1049,2413
137,2017/11/30,09:44:05,1.882759E+01,2403,1268,122,935,2403
138,2017/11/30,09:44:05,1.882759E+01,2396,1241,86,809,2396
139,2017/11/30,09:44:05,1.882759E+01,2392,1209,62,634,2392
140,2017/11/30,09:44:05,1.882759E+01,2378,1175,37,489,2378
141,2017/11/30,09:44:05,1.882759E+01,2367,1150,-17,342,2367
142,2017/11/30,09:44:05,1.882759E+01,2357,1130,-67,194,2357
143,2017/11/30,09:44:05,1.882759E+01,2353,1114,-110,73,2353
144,2017/11/30,09:44:05,1.882759E+01,2358,1105,-142,16,2358
145,2017/11/30,09:44:05,1.882759E+01,2366,1102,-165,-15,2366
146,2017/11/30,09:44:05,1.882759E+01,2379,1108,-168,-3,2379
147,2017/11/30,09:44:05,1.882759E+01,2390,1124,-135,-9,2390
148,2017/11/30,09:44:05,1.882759E+01,2396,1130,-79,-10,2396
149,2017/11/30,09:44:05,1.882759E+01,2400,1130,-7,-4,2400
150,2017/11/30,09:44:05,1.882759E+01,2400,1130,58,-17,2400
151,2017/11/30,09:44:05,1.882759E+01,2401,1138,95,-3,2401
152,2017/11/30,09:44:05,1.882759E+01,2416,1152,105,6,2416
153,2017/11/30,09:44:05,1.882759E+01,2429,1169,117,18,2429
154,2017/11/30,09:44:05,1.882759E+01,2441,1179,135,34,2441
155,2017/11/30,09:44:05,1.882759E+01,2450,1187,141,46,2450
156,2017/11/30,09:44:05,1.882759E+01,2458,1197,129,71,2458
157,2017/11/30,09:44:05,1.882759E+01,2463,1215,118,112,2463
158,2017/11/30,09:44:05,1.882759E+01,2453,1236,129,137,2453
159,2017/11/30,09:44:05,1.882759E+01,2444,1268,155,151,2444
160,2017/11/30,09:44:05,1.882759E+01,2436,1292,164,155,2436
161,2017/11/30,09:44:05,1.882759E+01,2429,1316,169,148,2429
162,2017/11/30,09:44:05,1.882759E+01,2426,1339,182,139,2426
163,2017/11/30,09:44:05,1.882759E+01,2426,1369,192,125,2426
164,2017/11/30,09:44:05,1.882759E+01,2438,1399,183,106,2438
165,2017/11/30,09:44:05,1.882759E+01,2457,1430,147,86,2457
166,2017/11/30,09:44:05,1.882759E+01,2469,1441,119,68,2469
167,2017/11/30,09:44:05,1.882759E+01,2479,1436,94,48,2479
168,2017/11/30,09:44:05,1.882759E+01,2484,1424,59,27,2484
169,2017/11/30,09:44:05,1.882759E+01,2484,1413,3,4,2484
170,2017/11/30,09:44:05,1.882759E+01,2476,1402,-62,-4,2476
171,2017/11/30,09:44:05,1.882759E+01,2464,1388,-119,-5,2464
172,2017/11/30,09:44:05,1.882759E+01,2450,1371,-122,-3,2450
173,2017/11/30,09:44:05,1.882759E+01,2445,1348,-93,-3,2445
174,2017/11/30,09:44:05,1.882759E+01,2442,1325,-50,-4,2442
175,2017/11/30,09:44:05,1.882759E+01,2444,1313,-10,-2,2444
176,2017/11/30,09:44:05,1.882759E+01,2455,1312,20,-5,2455
177,2017/11/30,09:44:05,1.882759E+01,2462,1323,42,-3,2462
178,2017/11/30,09:44:05,1.882759E+01,2469,1328,40,-1,2469
179,2017/11/30,09:44:05,1.882759E+01,2473,1325,21,5,2473
180,2017/11/30,09:44:05,1.882759E+01,2474,1318,-7,20,2474
181,2017/11/30,09:44:05,1.882759E+01,2476,1313,-37,38,2476
182,2017/11/30,09:44:05,1.882759E+01,2466,1310,-61,47,2466
183,2017/11/30,09:44:05,1.882759E+01,2457,1306,-65,48,2457
184,2017/11/30,09:44:05,1.882759E+01,2449,1297,-46,35,2449
185,2017/11/30,09:44:05,1.882759E+01,2442,1283,-16,16,2442
186,2017/11/30,09:44:05,1.882759E+01,2440,1271,12,5,2440
187,2017/11/30,09:44:05,1.882759E+01,2440,1262,33,-6,2440
188,2017/11/30,09:44:05,1.882759E+01,2432,1258,51,-3,2432
189,2017/11/30,09:44:05,1.882759E+01,2426,1261,70,-1,2426
190,2017/11/30,09:44:05,1.882759E+01,2410,1267,80,-5,2410
191,2017/11/30,09:44:05,1.882759E+01,2402,1277,78,0,2402
192,2017/11/30,09:44:05,1.882759E+01,2393,1288,65,-3,2393
